medicamentosap,textobrevemedicamento,med_std,esencial,esencial_item,esencial_desc
5004779,"PROV AISL PORCMTTRNS112,5KVA;100KVA63KVA","PROV AISL PORCMTTRNS112,5KVA;100KVA63KVA","No esencial","",""
5004780,"MO MONT AISL MT TRA 112,5KVA;100KVA63KVA","MO MONT AISL MT TRA 112,5KVA;100KVA63KVA","No esencial","",""
5004781,"PROV AISLADORES PORCELA BT TRAFO 1500KVA","PROV AISLADORES PORCELA BT TRAFO 1500KVA","No esencial","",""
5004782,"PROV AISL PORC BT TRAFO 1250KVA 1000 KVA","PROV AISL PORC BT TRAFO 1250KVA 1000 KVA","No esencial","",""
5004783,"MO MONT AIS PORTRA1500KVA;1250KVA1000KVA","MO MONT AIS PORTRA1500KVA;1250KVA1000KVA","No esencial","",""
5004784,"PROV AISLADORES PORCELAN BT TRAFO 500KVA","PROV AISLADORES PORCELAN BT TRAFO 500KVA","No esencial","",""
5004785,"PROV AISLADORES PORCELAN BT TRAFO 300KVA","PROV AISLADORES PORCELAN BT TRAFO 300KVA","No esencial","",""
5004786,"PROV AISLADORES PORCELAN BT TRAFO 200KVA","PROV AISLADORES PORCELAN BT TRAFO 200KVA","No esencial","",""
5004787,"MO MONT AISL PORCTRAN500KVA;300KVA200KVA","MO MONT AISL PORCTRAN500KVA;300KVA200KVA","No esencial","",""
5004788,"PROV AIS PORCTR150KVA112,5KVA100KVA63KVA","PROV AIS PORCTR150KVA112,5KVA100KVA63KVA","No esencial","",""
5004789,"MO MONT AISL 150KVA;112,5KVA;100KVA63KVA","MO MONT AISL 150KVA;112,5KVA;100KVA63KVA","No esencial","",""
5004790,"PROV SECCIONADORES FUSIBLES MT 1500KVA","PROV SECCIONADORES FUSIBLES MT 1500KVA","No esencial","",""
5004791,"PROV SECCIONADORES FUSIBLES MT 1250KVA","PROV SECCIONADORES FUSIBLES MT 1250KVA","No esencial","",""
5004792,"PROV SECCIONADORES FUSIBLES MT 1000KVA","PROV SECCIONADORES FUSIBLES MT 1000KVA","No esencial","",""
5004793,"MO MONT SECC FUSMT1500KVA;1250KVA1000KVA","MO MONT SECC FUSMT1500KVA;1250KVA1000KVA","No esencial","",""
5004794,"PROV SECCIONADORES FUSIBLES EN MT 500KVA","PROV SECCIONADORES FUSIBLES EN MT 500KVA","No esencial","",""
5004795,"PROV SECCIONADORES FUSIBLES EN MT 300KVA","PROV SECCIONADORES FUSIBLES EN MT 300KVA","No esencial","",""
5004796,"PROV SECCIO FUSIBLES MT 200 KVA Y 150KVA","PROV SECCIO FUSIBLES MT 200 KVA Y 150KVA","No esencial","",""
5004797,"MO MON SECC FUSI MT 500KVA;300KVA 200KVA","MO MON SECC FUSI MT 500KVA;300KVA 200KVA","No esencial","",""
5004798,"PROV SECFUSMT150KVA;112,5KVA;100KVA63KVA","PROV SECFUSMT150KVA;112,5KVA;100KVA63KVA","No esencial","",""
5004799,"MO MONT SEC FUS150KVA112,5KVA100KVA63KVA","MO MONT SEC FUS150KVA112,5KVA100KVA63KVA","No esencial","",""
5004800,"PROV SCARGADORES SOBRE TSION MT 1500KVA","PROV SCARGADORES SOBRE TSION MT 1500KVA","No esencial","",""
5004801,"PROV SCARGADORES SOBRE TSION MT 1250KVA","PROV SCARGADORES SOBRE TSION MT 1250KVA","No esencial","",""
5004802,"PROV SCARGADORES SOBRE TSION MT 1000KVA","PROV SCARGADORES SOBRE TSION MT 1000KVA","No esencial","",""
5004803,"MO MONT DESC MT 1500KVA;1250KVA 1000KVA","MO MONT DESC MT 1500KVA;1250KVA 1000KVA","No esencial","",""
5004804,"PROV SCARGADORES SOBRE TSION MT 500KVA","PROV SCARGADORES SOBRE TSION MT 500KVA","No esencial","",""
5004805,"PROV SCARGADORES SOBRE TSION MT 300KVA","PROV SCARGADORES SOBRE TSION MT 300KVA","No esencial","",""
5004806,"PROV SCARGADORES SOBRE TSION MT 200KVA","PROV SCARGADORES SOBRE TSION MT 200KVA","No esencial","",""
5004807,"MO MON DESCAR MT 500KVA; 300KVA Y 200KVA","MO MON DESCAR MT 500KVA; 300KVA Y 200KVA","No esencial","",""
5004808,"PROV SOB TEN150 KVA;112,5KVA;100KVA63KVA","PROV SOB TEN150 KVA;112,5KVA;100KVA63KVA","No esencial","",""
5004809,"MO MON DESCMT150KVA;112,5KVA;100KVA63KVA","MO MON DESCMT150KVA;112,5KVA;100KVA63KVA","No esencial","",""
5004810,"PROV INTER TERMOMAGN CORTE GERAL 3X1650A","PROV INTER TERMOMAGN CORTE GERAL 3X1650A","No esencial","",""
5004811,"MO  MONTAJE DE INTERRUPTORES DE 3X1650A","MO  MONTAJE DE INTERRUPTORES DE 3X1650A","No esencial","",""
5004812,"PROV INTER TERMOMAGNE CORTE GERAL 3X800A","PROV INTER TERMOMAGNE CORTE GERAL 3X800A","No esencial","",""
5004813,"MO  MONTAJE DE INTERRUPTORES DE 3X800A","MO  MONTAJE DE INTERRUPTORES DE 3X800A","No esencial","",""
5004814,"PROV INTER TERMOMAGNE CORTE GERAL 3X630A","PROV INTER TERMOMAGNE CORTE GERAL 3X630A","No esencial","",""
5004815,"MO  MONTAJE DE INTERRUPTORES DE 3X630A","MO  MONTAJE DE INTERRUPTORES DE 3X630A","No esencial","",""
5004816,"PROV INTER TERMOMAGNE CORTE GERAL 3X400A","PROV INTER TERMOMAGNE CORTE GERAL 3X400A","No esencial","",""
5004817,"MO  MONTAJE DE INTERRUPTORES DE 3X400A","MO  MONTAJE DE INTERRUPTORES DE 3X400A","No esencial","",""
5004818,"PROV INTER TERMOMAGNE CORTE GERAL 3X250A","PROV INTER TERMOMAGNE CORTE GERAL 3X250A","No esencial","",""
5004819,"MO  MONTAJE DE INTERRUPTORES DE 3X250A","MO  MONTAJE DE INTERRUPTORES DE 3X250A","No esencial","",""
5004820,"PROV INTER TERMOMAGNE CORTE GERAL 3X160A","PROV INTER TERMOMAGNE CORTE GERAL 3X160A","No esencial","",""
5004821,"MO  MONTAJE DE INTERRUPTORES DE 3X160A","MO  MONTAJE DE INTERRUPTORES DE 3X160A","No esencial","",""
5004822,"PROVISION DE POSTE DE Hｰ Aｰ 12/500KGF.","PROVISION DE POSTE DE Hｰ Aｰ 12/500KGF.","No esencial","",""
5004823,"MO  MONTAJE DE POSTE DE HｰAｰ 12/500KGF","MO  MONTAJE DE POSTE DE HｰAｰ 12/500KGF","No esencial","",""
5004824,"PROVISION DE POSTE DE HｰAｰ 12/300KGF.","PROVISION DE POSTE DE HｰAｰ 12/300KGF.","No esencial","",""
5004825,"MO  MONTAJE DE POSTE DE Hｰ Aｰ 12/300 KGF","MO  MONTAJE DE POSTE DE Hｰ Aｰ 12/300 KGF","No esencial","",""
5004826,"PROVISION DE POSTE DE HｰAｰ 12/200 KGF","PROVISION DE POSTE DE HｰAｰ 12/200 KGF","No esencial","",""
5004827,"MO  MONTAJE DE POSTE DE HｰAｰ 12/200 KGF","MO  MONTAJE DE POSTE DE HｰAｰ 12/200 KGF","No esencial","",""
5004828,"PROVISION DE POSTE DE HｰAｰ 10/500KGF","PROVISION DE POSTE DE HｰAｰ 10/500KGF","No esencial","",""
5004829,"MO  MONTAJE DE POSTE DE HｰAｰ 10/500 KGF","MO  MONTAJE DE POSTE DE HｰAｰ 10/500 KGF","No esencial","",""
5004830,"PROVISION DE POSTE DE Hｰ Aｰ 9/500 KGF","PROVISION DE POSTE DE Hｰ Aｰ 9/500 KGF","No esencial","",""
5004831,"MO PARA MONTAJE DE POSTE DE 9/500 KGF","MO PARA MONTAJE DE POSTE DE 9/500 KGF","No esencial","",""
5004832,"MO RETIRO Y ANALISIS L ACEITE DIELECTRIC","MO RETIRO Y ANALISIS L ACEITE DIELECTRIC","No esencial","",""
5004833,"PROVISION DE ACEITE MINERAL AISLANTE","PROVISION DE ACEITE MINERAL AISLANTE","No esencial","",""
5004834,"MO PARA MONTAJE DE ACEITE MINERAL","MO PARA MONTAJE DE ACEITE MINERAL","No esencial","",""
5004835,"PROV DE TIRANTE DE MADERA (CRUCETAS)","PROV DE TIRANTE DE MADERA (CRUCETAS)","No esencial","",""
5004836,"MANO DE OBRA PARA MONTAJE DE CRUCETAS","MANO DE OBRA PARA MONTAJE DE CRUCETAS","No esencial","",""
5004837,"PROV CERCO ELECTRICO (POSTE Hｰ Aｰ)","PROV CERCO ELECTRICO (POSTE Hｰ Aｰ)","No esencial","",""
5004838,"MO PARA MONTAJE DE CERCO ELECTRICO","MO PARA MONTAJE DE CERCO ELECTRICO","No esencial","",""
5004839,"PROVISION DE MUFAS EN MT","PROVISION DE MUFAS EN MT","No esencial","",""
5004840,"MANO DE OBRA MONTAJE DE MUFAS EN MT","MANO DE OBRA MONTAJE DE MUFAS EN MT","No esencial","",""
5004841,"PROV DE FUSIBLES ENCAPSULADOS DE 20A","PROV DE FUSIBLES ENCAPSULADOS DE 20A","No esencial","",""
5004842,"MO MONTAJE FUSIBLES ENCAPSULADOS 20A","MO MONTAJE FUSIBLES ENCAPSULADOS 20A","No esencial","",""
5004843,"PROV DE FUSIBLES ENCAPSULADOS DE 32A","PROV DE FUSIBLES ENCAPSULADOS DE 32A","No esencial","",""
5004844,"MO MONTAJE FUSIBLES ENCAPSULADOS 32A","MO MONTAJE FUSIBLES ENCAPSULADOS 32A","No esencial","",""
5004845,"PROV DE FUSIBLES ENCAPSULADOS DE 63A","PROV DE FUSIBLES ENCAPSULADOS DE 63A","No esencial","",""
5004846,"MO MONTAJE FUSIBLES ENCAPSULADOS 63A","MO MONTAJE FUSIBLES ENCAPSULADOS 63A","No esencial","",""
5004847,"PROV DE JABALINA DE COBRE CON ABRAZADERA","PROV DE JABALINA DE COBRE CON ABRAZADERA","No esencial","",""
5004848,"MANO DE OBRA PARA MONTAJE DE JABALINA","MANO DE OBRA PARA MONTAJE DE JABALINA","No esencial","",""
5004849,"PROV DE SOLDADURA EXOTERMICA CON MOLDE","PROV DE SOLDADURA EXOTERMICA CON MOLDE","No esencial","",""
5004850,"MANO DE OBRA PARA SOLDADURA EXOTERMICA","MANO DE OBRA PARA SOLDADURA EXOTERMICA","No esencial","",""
5004851,"PROVISION DE PRENSA CABLE (PG)","PROVISION DE PRENSA CABLE (PG)","No esencial","",""
5004852,"PROV CART DESC ATMOSFERICOS BAJA TSION","PROV CART DESC ATMOSFERICOS BAJA TSION","No esencial","",""
5004853,"MO MONT CART DESCAR ATMOSFE BAJA TENSION","MO MONT CART DESCAR ATMOSFE BAJA TENSION","No esencial","",""
5004854,"PROV EXTR CALOR GAB TENSION NOMINAL 220V","PROV EXTR CALOR GAB TENSION NOMINAL 220V","No esencial","",""
5004855,"MO MONT EXTR CALOR GAB TENS NOMINAL 220V","MO MONT EXTR CALOR GAB TENS NOMINAL 220V","No esencial","",""
5004856,"CAPACITOR DE POTENCIA 5KVAR/380V","CAPACITOR DE POTENCIA 5KVAR/380V","No esencial","",""
5004857,"CAPACITOR DE POTENCIA 10KVAR/380V","CAPACITOR DE POTENCIA 10KVAR/380V","No esencial","",""
5004858,"MO MONT CAP POT 5 KVAR/380V 10KVAR/380V","MO MONT CAP POT 5 KVAR/380V 10KVAR/380V","No esencial","",""
5004859,"PROVISION DE GABINETE METALICO PARA TCS","PROVISION DE GABINETE METALICO PARA TCS","No esencial","",""
5004860,"MO  MONTAJE DE GABINETE METALICO  TCS","MO  MONTAJE DE GABINETE METALICO  TCS","No esencial","",""
5004861,"PROV DE GABINETE METALICO PARA MEDIDOR","PROV DE GABINETE METALICO PARA MEDIDOR","No esencial","",""
5004862,"MO MONTAJE GABINETE METALICO MEDIDOR","MO MONTAJE GABINETE METALICO MEDIDOR","No esencial","",""
5004863,"PROV DE GABINETE METALICO PARA LIMITADOR","PROV DE GABINETE METALICO PARA LIMITADOR","No esencial","",""
5004864,"MO MONTAJE GABINETE METALICO LIMITADOR","MO MONTAJE GABINETE METALICO LIMITADOR","No esencial","",""
5004865,"PROV DE PINTURA SINTETICA PARA TABLEROS.","PROV DE PINTURA SINTETICA PARA TABLEROS.","No esencial","",""
5004866,"MANO DE OBRA PARA PINTURA","MANO DE OBRA PARA PINTURA","No esencial","",""
5004867,"PROV TERMINAL TIPO HOJAL 35MMｲ Y 50 MMｲ","PROV TERMINAL TIPO HOJAL 35MMｲ Y 50 MMｲ","No esencial","",""
5004868,"PROV TERMINAL TIPO HOJAL 70MMｲ Y 95 MMｲ","PROV TERMINAL TIPO HOJAL 70MMｲ Y 95 MMｲ","No esencial","",""
5004869,"PROV TERMINAL TIPO HOJAL 120MMｲ 150 MMｲ","PROV TERMINAL TIPO HOJAL 120MMｲ 150 MMｲ","No esencial","",""
5004870,"MO MONT TERM OJAL35; 50;70;95;120 150MMｲ","MO MONT TERM OJAL35; 50;70;95;120 150MMｲ","No esencial","",""
5004871,"SERV FLETE CARGA CAMION GRUA MOV TRASF","SERV FLETE CARGA CAMION GRUA MOV TRASF","No esencial","",""
5004872,"MO POR ASISTCIA TECNICA","MO POR ASISTCIA TECNICA","No esencial","",""
5004873,"MO PODA ARBOLES INCLUYE RETIRO LA BASURA","MO PODA ARBOLES INCLUYE RETIRO LA BASURA","No esencial","",""
5004874,"DESAGOTE DE CAMARA SEPTICA","DESAGOTE DE CAMARA SEPTICA","No esencial","",""
5004875,"DESAGOTE DE POZO CIEGO","DESAGOTE DE POZO CIEGO","No esencial","",""
5004876,"LIMPIEZA DE SUMIDEROS CLOACALES","LIMPIEZA DE SUMIDEROS CLOACALES","No esencial","",""
5004877,"LIMPIEZA DE SUMIDEROS PLUVIALES","LIMPIEZA DE SUMIDEROS PLUVIALES","No esencial","",""
5004878,"LIMPIEZA DE REGISTROS CLOACALES","LIMPIEZA DE REGISTROS CLOACALES","No esencial","",""
5004879,"LIMPIEZA DE REGISTROS PLUVIALES","LIMPIEZA DE REGISTROS PLUVIALES","No esencial","",""
5004880,"LIMPIEZA  DE CANALES PLUVIALES","LIMPIEZA  DE CANALES PLUVIALES","No esencial","",""
5004881,"RETIRO Y TRATAMIENTO DE LODOS","RETIRO Y TRATAMIENTO DE LODOS","No esencial","",""
5004882,"PROVISION DE CORREA","PROVISION DE CORREA","No esencial","",""
5004883,"PROVISION DE PALETA VENTILADOR","PROVISION DE PALETA VENTILADOR","No esencial","",""
5004884,"REPARACION DE RADIADOR","REPARACION DE RADIADOR","No esencial","",""
5004885,"PROVISION DE BOMBA DE AGUA","PROVISION DE BOMBA DE AGUA","No esencial","",""
5004886,"MANGUERA DE AGUA","MANGUERA DE AGUA","No esencial","",""
5004887,"EMBRAGUE VENTILADOR","EMBRAGUE VENTILADOR","No esencial","",""
5004888,"PROVISION DE JUNTA DE BOMBA DE AGUA","PROVISION DE JUNTA DE BOMBA DE AGUA","No esencial","",""
5004889,"PROVISION DE POLEA DE INVERSION 1","PROVISION DE POLEA DE INVERSION 1","No esencial","",""
5004890,"PROVISION DE POLEA DE INVERSION 2","PROVISION DE POLEA DE INVERSION 2","No esencial","",""
5004891,"PROVISION DE POLEA DE INVERSION 3","PROVISION DE POLEA DE INVERSION 3","No esencial","",""
5004892,"PROVISION DE TENSOR DE CORREA","PROVISION DE TENSOR DE CORREA","No esencial","",""
5004893,"PROVISION DE DEPOSITO DE AGUA","PROVISION DE DEPOSITO DE AGUA","No esencial","",""
5004894,"PROVISION DE TAPA DE RADIADOR","PROVISION DE TAPA DE RADIADOR","No esencial","",""
5004895,"PROVISION DE TUBO FLEXIBLE CONFORMADO","PROVISION DE TUBO FLEXIBLE CONFORMADO","No esencial","",""
5004896,"PROVISION DE MANGUERA DE CALEFACCION","PROVISION DE MANGUERA DE CALEFACCION","No esencial","",""
5004897,"PROVISION CAMBIO ACEITE DE CAJA/LITRO","PROVISION CAMBIO ACEITE DE CAJA/LITRO","No esencial","",""
5004898,"PROVISION DE ENGRANAJE 1°","PROVISION DE ENGRANAJE 1°","No esencial","",""
5004899,"PROVISION DE ENGRANAJE 2°","PROVISION DE ENGRANAJE 2°","No esencial","",""
5004900,"PROVISION DE ENGRANAJE 3°","PROVISION DE ENGRANAJE 3°","No esencial","",""
5004901,"PROVISION DE ENGRANAJE 4°","PROVISION DE ENGRANAJE 4°","No esencial","",""
5004902,"PROVISION DE ENGRANAJE 5°","PROVISION DE ENGRANAJE 5°","No esencial","",""
5004903,"PROVISION DE ENGRANAJE DE 6°","PROVISION DE ENGRANAJE DE 6°","No esencial","",""
5004904,"PROVISION DE EJE CUADRUPLE.","PROVISION DE EJE CUADRUPLE.","No esencial","",""
5004905,"PROVISION DE EJE MANDO.","PROVISION DE EJE MANDO.","No esencial","",""
5004906,"PROVISION DE ANILLOS SINCRONIZADORES.","PROVISION DE ANILLOS SINCRONIZADORES.","No esencial","",""
5004907,"PROVISION DE JGO. COMPLETO DE RULEMANES.","PROVISION DE JGO. COMPLETO DE RULEMANES.","No esencial","",""
5004908,"PROVISION DE JGO. COMPLETO DE RODILLOS.","PROVISION DE JGO. COMPLETO DE RODILLOS.","No esencial","",""
5004909,"PROVISION DE RETEN FRENTE CAJA.","PROVISION DE RETEN FRENTE CAJA.","No esencial","",""
5004910,"PROVISION DE RETEN SALIDA DE CAJA.","PROVISION DE RETEN SALIDA DE CAJA.","No esencial","",""
5004911,"PROVISION  DESPLAZANTE 1°-2°","PROVISION  DESPLAZANTE 1°-2°","No esencial","",""
5004912,"PROVISION  DESPLAZANTE 3°-4°","PROVISION  DESPLAZANTE 3°-4°","No esencial","",""
5004913,"PROVISION  DESPLAZANTE 5°- 6°","PROVISION  DESPLAZANTE 5°- 6°","No esencial","",""
5004914,"PROVISION  DESPLAZANTE MARCHA ATRAS.2","PROVISION  DESPLAZANTE MARCHA ATRAS.2","No esencial","",""
5004915,"PROVISION DE HORQUILLA 1°/2° ( COMPLETO)","PROVISION DE HORQUILLA 1°/2° ( COMPLETO)","No esencial","",""
5004916,"PROVISION  DE HORQUILLA 3° .-4°","PROVISION  DE HORQUILLA 3° .-4°","No esencial","",""
5004917,"PROVISION  DE HORQUILLA 5°. -6°","PROVISION  DE HORQUILLA 5°. -6°","No esencial","",""
5004918,"PROVISION  DE HORQUILLA  MARCHA ATRÁS","PROVISION  DE HORQUILLA  MARCHA ATRAS","No esencial","",""
5004919,"CAJA DE CAMBIO COMPLETO","CAJA DE CAMBIO COMPLETO","No esencial","",""
5004920,"PROVISION Y CAMBIO DE PLATO DE PRESION","PROVISION Y CAMBIO DE PLATO DE PRESION","No esencial","",""
5004921,"PROVISION Y CAMBIO DE DISCO DE EMBRAGUE.","PROVISION Y CAMBIO DE DISCO DE EMBRAGUE.","No esencial","",""
5004922,"PROVISION Y CAMBIO COJINETE DE EMBRAGUE","PROVISION Y CAMBIO COJINETE DE EMBRAGUE","No esencial","",""
5004923,"PROVISION CAMBIO BOMBA CENTRAL DE EMBRAG","PROVISION CAMBIO BOMBA CENTRAL DE EMBRAG","No esencial","",""
5004924,"PROVISION CAMBIO BOMBA AUXILIAR  EMBRAG","PROVISION CAMBIO BOMBA AUXILIAR  EMBRAG","No esencial","",""
5004925,"RECTIFICACION CORONA VOLANTE.","RECTIFICACION CORONA VOLANTE.","No esencial","",""
5004926,"PROVISION Y CAMBIO CORONA VOLANTE.","PROVISION Y CAMBIO CORONA VOLANTE.","No esencial","",""
5004927,"PROVISION Y CAMBIO ACEITE MOTOR/ LITRO","PROVISION Y CAMBIO ACEITE MOTOR/ LITRO","No esencial","",""
5004928,"PROVISION Y CAMBIO DE FILTRO COMBUSTIBLE","PROVISION Y CAMBIO DE FILTRO COMBUSTIBLE","No esencial","",""
5004929,"PROVISION Y CAMBIO DE FILTRO DE ACEITE","PROVISION Y CAMBIO DE FILTRO DE ACEITE","No esencial","",""
5004930,"PROVISION Y CAMBIO DE FILTRO DE AIRE","PROVISION Y CAMBIO DE FILTRO DE AIRE","No esencial","",""
5004931,"PROVISION DE RETEN FRENTE MOTOR","PROVISION DE RETEN FRENTE MOTOR","No esencial","",""
5004932,"PROVISION DE RETEN LEVA MOTOR","PROVISION DE RETEN LEVA MOTOR","No esencial","",""
5004933,"PROVISION RETEN TAPA FRENTE MOTOR","PROVISION RETEN TAPA FRENTE MOTOR","No esencial","",""
5004934,"PROVISION DE RETEN BANCADA MOTOR TRASERA","PROVISION DE RETEN BANCADA MOTOR TRASERA","No esencial","",""
5004935,"REPARACION TURBO","REPARACION TURBO","No esencial","",""
5004936,"REPARACION RADIADOR INTERCULER","REPARACION RADIADOR INTERCULER","No esencial","",""
5004937,"PROVISION Y CAMBIO RADIADOR INTERCULER","PROVISION Y CAMBIO RADIADOR INTERCULER","No esencial","",""
5004938,"PROVISION DE JUEGO CASQUILLOS DE BIELA","PROVISION DE JUEGO CASQUILLOS DE BIELA","No esencial","",""
5004939,"PROVISION DE JUEGO CASQUILLOS DE BANCADA","PROVISION DE JUEGO CASQUILLOS DE BANCADA","No esencial","",""
5004940,"PROVISION DE JUEGO DE PISTONES","PROVISION DE JUEGO DE PISTONES","No esencial","",""
5004941,"PROVISION DE JUEGO DE AROS","PROVISION DE JUEGO DE AROS","No esencial","",""
5004942,"PROVISION DE JUEGO DE CAMISAS","PROVISION DE JUEGO DE CAMISAS","No esencial","",""
5004943,"PROVISION DE JUEGO DE CALCES LATERALES","PROVISION DE JUEGO DE CALCES LATERALES","No esencial","",""
5004944,"PROVISION DE JUEGO DE BUJES DE BIELA","PROVISION DE JUEGO DE BUJES DE BIELA","No esencial","",""
5004945,"PROVISION DE BRAZO DE BIELA","PROVISION DE BRAZO DE BIELA","No esencial","",""
5004946,"PROVISION DE JUEGO DE JUNTA MOTOR","PROVISION DE JUEGO DE JUNTA MOTOR","No esencial","",""
5004947,"PROVISION DE VALVULAS DE ADMISION","PROVISION DE VALVULAS DE ADMISION","No esencial","",""
5004948,"PROVISION  DE VALVULAS DE ESCAPE","PROVISION  DE VALVULAS DE ESCAPE","No esencial","",""
5004949,"POLEA CIGUEÑAL","POLEA CIGUENAL","No esencial","",""
5004950,"PROVISION DE JUEGO DE GUIAS DE VALVULAS","PROVISION DE JUEGO DE GUIAS DE VALVULAS","No esencial","",""
5004951,"RECTIFICACION DE ASIENTOS DE VALVULAS","RECTIFICACION DE ASIENTOS DE VALVULAS","No esencial","",""
5004952,"PROVISION DE BOMBA DE ACEITE","PROVISION DE BOMBA DE ACEITE","No esencial","",""
5004953,"REPARACION DE BOMBA INYECTORA","REPARACION DE BOMBA INYECTORA","No esencial","",""
5004954,"PROVISION DE PICO INYECTOR","PROVISION DE PICO INYECTOR","No esencial","",""
5004955,"PROVISION DE SOPORTE MOTOR","PROVISION DE SOPORTE MOTOR","No esencial","",""
5004956,"LIMPIEZA DE TANQUE DE COMBUSTIBLE","LIMPIEZA DE TANQUE DE COMBUSTIBLE","No esencial","",""
5004957,"PROVISION DE FLOTADOR TANQUE COMBUSTIBLE","PROVISION DE FLOTADOR TANQUE COMBUSTIBLE","No esencial","",""
5004958,"PROVISION DE JUNTA TAPA MOTOR","PROVISION DE JUNTA TAPA MOTOR","No esencial","",""
5004959,"PROVISION Y CAMBIO JUNTA TAPA BALANCIN","PROVISION Y CAMBIO JUNTA TAPA BALANCIN","No esencial","",""
5004960,"PROVISION Y CAMBIO JUNTA CARTER","PROVISION Y CAMBIO JUNTA CARTER","No esencial","",""
5004961,"MANO DE OBRA GENERAL RECTIFICADORA","MANO DE OBRA GENERAL RECTIFICADORA","No esencial","",""
5004962,"PROVISION Y CAMBIO MUÑEQUIN/ BRAZO CORTO","PROVISION Y CAMBIO MUNEQUIN/ BRAZO CORTO","No esencial","",""
5004963,"PROVISION Y CAMBIO RULEMAN MASA","PROVISION Y CAMBIO RULEMAN MASA","No esencial","",""
5004964,"PROVISION Y CAMBIO BRAZO LARGO.","PROVISION Y CAMBIO BRAZO LARGO.","No esencial","",""
5004965,"PROVIS/CAMB JUEGO REPARAC CREMALL DIRECC","PROVIS/CAMB JUEGO REPARAC CREMALL DIRECC","No esencial","",""
5004966,"PROVISION DE CREMALLERA DE DIRECCION.","PROVISION DE CREMALLERA DE DIRECCION.","No esencial","",""
5004967,"BOMBA DE DIRECCION","BOMBA DE DIRECCION","No esencial","",""
5004968,"PROVIS/CAMB COLUMNA Y CRUCETA DE DIRECC","PROVIS/CAMB COLUMNA Y CRUCETA DE DIRECC","No esencial","",""
5004969,"PROVISION Y CAMBIO DE PRECAT","PROVISION Y CAMBIO DE PRECAT","No esencial","",""
5004970,"PROVISION Y CAMBIO DE MUNEQUIN","PROVISION Y CAMBIO DE MUNEQUIN","No esencial","",""
5004971,"PROVIS/CAMB BOMBA CENTRAL/COMANDO AIRE","PROVIS/CAMB BOMBA CENTRAL/COMANDO AIRE","No esencial","",""
5004972,"PROVISION Y CAMBIO DE PASTILLA DE FRENO","PROVISION Y CAMBIO DE PASTILLA DE FRENO","No esencial","",""
5004973,"PROVISION Y CAMBIO DISCO FRENO DELANTERO","PROVISION Y CAMBIO DISCO FRENO DELANTERO","No esencial","",""
5004974,"PROVISION Y CAMBIO DISCO FRENO TRASERO","PROVISION Y CAMBIO DISCO FRENO TRASERO","No esencial","",""
5004975,"PROVIS/ZAPATA FRENO MANO TS PAST/FRENOS","PROVIS/ZAPATA FRENO MANO TS PAST/FRENOS","No esencial","",""
5004976,"SENSOR ABS","SENSOR ABS","No esencial","",""
5004977,"PROVISION  SERVO DE FRENOS","PROVISION  SERVO DE FRENOS","No esencial","",""
5004978,"PROVISION Y CAMBIO AMORTIGUADOR DELANT","PROVISION Y CAMBIO AMORTIGUADOR DELANT","No esencial","",""
5004979,"PROVISION Y CAMBIO AMORTIGUADOR TRASE","PROVISION Y CAMBIO AMORTIGUADOR TRASE","No esencial","",""
5004980,"PROVISION Y CAMBIO DE PERNOS TRASERO","PROVISION Y CAMBIO DE PERNOS TRASERO","No esencial","",""
5004981,"PROVISION Y CAMBIO DE PERNOS DELANTEROS","PROVISION Y CAMBIO DE PERNOS DELANTEROS","No esencial","",""
5004982,"PROVISION Y CAMBIO ELASTICOS DE UN LADO","PROVISION Y CAMBIO ELASTICOS DE UN LADO","No esencial","",""
5004983,"PROVISION Y CAMBIO DE BUJES ELASTICOS","PROVISION Y CAMBIO DE BUJES ELASTICOS","No esencial","",""
5004984,"PROVISION Y CAMBIO DE PLANETARIO","PROVISION Y CAMBIO DE PLANETARIO","No esencial","",""
5004985,"PROVISION Y CAMBIO DE SATELITE","PROVISION Y CAMBIO DE SATELITE","No esencial","",""
5004986,"PROVISION Y CAMBIO DE PIÑON Y CORONA","PROVISION Y CAMBIO DE PINON Y CORONA","No esencial","",""
5004987,"PROVISION Y CAMBIO PERNO DE CRUZETA","PROVISION Y CAMBIO PERNO DE CRUZETA","No esencial","",""
5004988,"PROVISION Y CAMBIO DE CRUZETA CARDAN","PROVISION Y CAMBIO DE CRUZETA CARDAN","No esencial","",""
5004989,"PROVISION Y CAMBIO DE BRIDA","PROVISION Y CAMBIO DE BRIDA","No esencial","",""
5004990,"PROVIS/CAMB ACEITE CAJA DIFEREN/LITRO","PROVIS/CAMB ACEITE CAJA DIFEREN/LITRO","No esencial","",""
5004991,"PROVISION Y CAMBIO DE RULEMANES C/SEGURO","PROVISION Y CAMBIO DE RULEMANES C/SEGURO","No esencial","",""
5004992,"PROVISION Y CAMBIO DE RETENES","PROVISION Y CAMBIO DE RETENES","No esencial","",""
5004993,"PROVISION Y CAMBIO DE EJE PALIER","PROVISION Y CAMBIO DE EJE PALIER","No esencial","",""
5004994,"PROVISION DE BENDIX DE ARRANQUE","PROVISION DE BENDIX DE ARRANQUE","No esencial","",""
5004995,"PROVISION DE CAMPOS DE ARRANQUE","PROVISION DE CAMPOS DE ARRANQUE","No esencial","",""
5004996,"PROVISION JUEG PORTA CARBON CON CARBONES","PROVISION JUEG PORTA CARBON CON CARBONES","No esencial","",""
